date/time,comment_id,fullname,text,likes,replyComment count
2021-05-16T00:58:12Z,Ugyvj4uFQjp-ZUoiHl54AaABAg,Gᴜᴅᴅᴀ Gᴀɴɢ,"ਕੋਈ ਗੱਲ ਤਾ ਦਿਲ ਲਾ ਕੇ ਲਿਖਦਾ ਏ
ਇਹ ਮਾਂ ਦਾ ਪੁੱਤ ਪਤਾ ਨੀ ਕੀ ਖਾ ਕੇ ਲਿਖਦਾ ਆ........ 

    🖤 ..𝚂𝚒𝚍𝚑𝚞 𝚖𝚘𝚘𝚜𝚎𝚠𝚊𝚕𝚊.. 🖤",160,3
2021-06-03T15:42:20Z,UgzqWETEESD4990dAux4AaABAg,Umer Qaiser,Love from Pakistan sidhu paa jee love u,40,2
2021-06-04T10:41:33Z,UgwHb7l95Cr_u7Dn91F4AaABAg,Gagan Deep,Listening everyday. That music and Sidhu's voice gives goosebumps 😆😆,76,5
2021-06-05T23:21:37Z,UgwVptJV9Lvp6IIhXRN4AaABAg,zijuiy wttuy,Sidhu fer aagya thak paun SIDHU MOOSE Wala Ustaad Hai 🔥 🔥 🔥 🔥 Eni wait kiti si💖💖💖💖💖 shake krdu,4,0
2021-06-02T16:30:35Z,UgxJB0Du-mMUBDsquDJ4AaABAg,GEETMP 480,Sidhu fer aagya thak paun  SIDHU MOOSE Wala Ustaad Hai 🔥 🔥 🔥 🔥 Eni wait kiti si💖💖💖💖💖 shake krdu,13,0
2021-05-19T00:29:32Z,UgyReZV2NFU_3-Fd7hh4AaABAg,Different yaar 04,Target is complet one million like🤘🤘🤗🤗sidhu mooS wala 👍👍👍,158,12
2021-06-04T13:49:34Z,UgyUgAOthe3IdGth-494AaABAg,THE PRO BOOKS,"Best song in moosetape
In all terms.",9,0
2021-06-05T10:10:36Z,UgwbssAgJkmjLjpyWnx4AaABAg,Oxperia Communications,You Sung this song with full energy !,7,0
2021-06-05T07:19:14Z,Ugyy33K4qYn97LnwJ-54AaABAg,Kuldeep Singh,Sidho on  💪💪💪💪💪💪💪💪🤨❤❤❤❤❤❤🔥🔥🔥🔥🔥🥇🥇🥇🏅🏅🏅🏅,4,0
2021-06-04T16:59:44Z,UgzZVYaHbITNySTKDu94AaABAg,Faisal Raheem Rana,Sidhu jii sasriyaaakal... 🙏🙏 pakistan loves you... come here soon,4,0
2021-05-15T08:49:48Z,UgytpLyPorNAqWGT3TJ4AaABAg,Sidhu mosse wala,❤️ਕਿਹੜਾ  ਮੇਰਾ ਗਾਣਾ  ਵਾਰੀ ਵਾਰੀ ਸੁਣੀ ਜਾਂਦਾ comment karke daso 👍,85,29
2021-06-04T05:16:13Z,UgxNER-QGWhQi7DD2bV4AaABAg,simran deol,Sira bai ji,3,0
